en,ru,description,file,hash
%1$s on %2$s,%1$s на %2$s,,site/modules/Relay/Relay.module.php,9b8d8a252955b2de195c7fa72b7353cb
%d action,%d действие,,site/modules/Relay/Relay.module.php,52e7ef0d09080ecf1c1cb9588f5a3346
%d action in this view,%d действие в этом представлении,,site/modules/Relay/Relay.module.php,edbb5b851dc7c7fce80a4ae79765fee1
%d actions,%d действий,,site/modules/Relay/Relay.module.php,b702ff44d2b2006bf4888afc027e438c
%d actions in this view,%d действий в этом представлении,,site/modules/Relay/Relay.module.php,72a81c2788218d02e54496f5ce5bf4e8
%d active lease,%d активная блокировка обработчика,,site/modules/Relay/Relay.module.php,45997a700e47aac122a2064ff6b91e91
%d active leases,%d активных блокировок обработчика,,site/modules/Relay/Relay.module.php,03bbefe07fc6b64dc91467fe2d693ba0
%d demo action loaded.,%d демонстрационное действие загружено.,,site/modules/Relay/Relay.module.php,02d8eec5f9e44fd4ae56063d0cf25009
%d demo actions loaded.,Загружено %d демонстрационных действий.,,site/modules/Relay/Relay.module.php,4c230d7f1e07dc373ab85519552dec77
%d failed job,%d неудачное задание,,site/modules/Relay/Relay.module.php,44def872a6aad957747b74cd20867980
%d failed jobs,%d неудачных заданий,,site/modules/Relay/Relay.module.php,a0ddafd3319505d73b0891530663f509
%d session-only demo action. No schedule jobs or page states are changed.,%d демонстрационное действие только для сеанса. Никакие запланированные задания или состояния страниц не изменяются.,,site/modules/Relay/Relay.module.php,b9df1d9878c0a28107069b73d2dcff88
%d session-only demo actions. No schedule jobs or page states are changed.,%d демонстрационных действий только для сеанса. Никакие запланированные задания или состояния страниц не изменяются.,,site/modules/Relay/Relay.module.php,03ebae3d39cd1696b24b493d9db2d710
%d template,%d шаблон,,site/modules/Relay/Relay.module.php,2e97680673e9f48756601bd5672b0d45
%d templates,%d шаблонов,,site/modules/Relay/Relay.module.php,f78cb52b393842a378dcbee7bd241ffe
%d upcoming action,%d предстоящее действие,,site/modules/Relay/Relay.module.php,2861365b8287f80b6b8c2d6fe56bd63e
%d upcoming actions,%d предстоящих действий,,site/modules/Relay/Relay.module.php,b718159aca4e0e94ed8db2f051112718
%s (not installed),%s (не установлен),,site/modules/Relay/Relay.module.php,1307e7441c89b0828007900bfd3f2171
3 days,3 дня,,site/modules/Relay/Relay.module.php,45fe0d3293152fa29cf10ef8a3c1871d
3-day calendar,Календарь на 3 дня,,site/modules/Relay/Relay.module.php,38e6af5f4884e28e44bb23d5f6af6677
Absolute path or a path relative to the ProcessWire root. Relay only generates the command; it never writes the system crontab.,Абсолютный путь или путь относительно корня ProcessWire. Модуль Relay только формирует команду и никогда не изменяет системный crontab.,,site/modules/Relay/Relay.module.php,220d13541eac933c9acfb78f07514d20
Access,Доступ,,site/modules/Relay/Relay.module.php,bf733d8a933c1601697f364223fc7ecb
Action,Действие,,site/modules/Relay/Relay.module.php,004bf6c9a40003140292e97330236c53
Actions,Действия,,site/modules/Relay/Relay.module.php,06df33001c1d7187fdd81ea1f5b277aa
Actions in current view by status,Действия в текущем представлении по статусу,,site/modules/Relay/Relay.module.php,af64477cfee328730682df824f4f4527
Active,Активный,,site/modules/Relay/Relay.module.php,4d3d769b812b6faa6b76e1a8abaece2d
Adds /relay-api/v1/ routes with session/CSRF or an explicitly rotated Bearer credential. CORS remains disabled.,Добавляет маршруты /relay-api/v1/ с авторизацией через сессию и CSRF либо явно обновлённый Bearer-токен. CORS остаётся выключенным.,,site/modules/Relay/Relay.module.php,9b843d3fcc73feed1090d1cc97f93994
Adds a compact action/clock marker and local-time tooltip for users with relay-view.,Добавляет компактный маркер действия и времени с подсказкой в локальном часовом поясе для пользователей с разрешением relay-view.,,site/modules/Relay/Relay.module.php,663e5ab2d43fd1eede404e7d7623588b
Adds a subtle weekend background in date-based calendar views. Disable it for a uniform grid.,Добавляет тонкий фон выходных в представлениях календаря на основе дат. Отключите его для равномерной сетки.,,site/modules/Relay/Relay.module.php,75d3e7a7bfcdde3525309af275c77048
AI planning proposals,Предложения по планированию ИИ,,site/modules/Relay/Relay.module.php,ce74f68e998d966d107b0e413109aafd
"Alerts contain metadata, not editorial content","Оповещения содержат метаданные, а не редакционный контент.",,site/modules/Relay/Relay.module.php,e2ff31dc656705e2b2d89110a4dac14c
All actions,Все действия,,site/modules/Relay/Relay.module.php,2701bbdc7ebed3bba6e85534149c85b1
All editable templates,Все редактируемые шаблоны,,site/modules/Relay/Relay.module.php,c4665cd5c7c6178de30de7f3c8056ba4
